name,module,file,line,first_tactic,n_tokens,truncated,surprise_given,mean_surprise,surprise_alone,pmi,mean_pmi,max_incongruity,first_step_surprise,max_rank
monotone_bounded_eventuallyConstant,Core.Basic,formal/Core/Basic.lean,14,obtain,238,0,209.2574920654297,0.879233181476593,613.9219970703125,404.66448974609375,1.7002709653197217,9.58903980255127,1.3374134302139282,2667
monotone_eventuallyConstant_bounded,Core.Basic,formal/Core/Basic.lean,37,obtain,74,0,44.903343200683594,0.6068019270896912,269.41558837890625,224.51223754882812,3.033949156065245,4.266372203826904,0.08069297671318054,42
toInt_eq_zero_iff,Representation.Words,formal/Representation/Words.lean,30,cases,11,0,4.978146076202393,0.4525587558746338,92.77473449707031,87.79658508300781,7.981507734818892,3.0443811416625977,0.3467651605606079,3
negate_eq_zero_iff,Representation.Words,formal/Representation/Words.lean,33,cases,12,0,6.663391590118408,0.5552826523780823,91.622314453125,84.95892333984375,7.0799102783203125,5.135251998901367,0.46207040548324585,5
evalMSD_appendLSD,Representation.Words,formal/Representation/Words.lean,50,simp,17,0,9.420732498168945,0.5541607141494751,140.5926971435547,131.17196655273438,7.715998032513787,2.894087553024292,0.958122730255127,7
evalMSD_append_zero,Representation.Words,formal/Representation/Words.lean,54,simpa,22,0,13.119943618774414,0.5963611006736755,191.81094360351562,178.6909942626953,8.122317921031605,3.189152717590332,4.799923896789551,10
digitSum_appendLSD,Representation.Words,formal/Representation/Words.lean,66,simp,11,0,6.5145416259765625,0.5922310948371887,96.7301025390625,90.21556091308594,8.201414628462357,5.025200843811035,0.09482717514038086,3
digitSum_append_plus,Representation.Words,formal/Representation/Words.lean,72,simp,13,0,9.497235298156738,0.7305566072463989,136.3257598876953,126.82852172851562,9.75604013296274,5.375394344329834,0.7847342491149902,4
evalMSD_append_plus,Representation.Words,formal/Representation/Words.lean,76,simp,14,0,6.968911170959473,0.49777939915657043,146.64352416992188,139.6746063232422,9.976757594517299,6.037126541137695,0.4206424653530121,5
length_appendLSD,Representation.Words,formal/Representation/Words.lean,80,simp,8,0,6.22705078125,0.77838134765625,75.48118591308594,69.25413513183594,8.656766891479492,5.164491653442383,0.10934748500585556,3
evalMSD_mapNeg,Representation.Words,formal/Representation/Words.lean,113,simpa,20,0,6.96630859375,0.34831544756889343,154.74917602539062,147.78286743164062,7.389143371582032,2.601249933242798,3.9128339290618896,5
mapNeg_reverse,Representation.Words,formal/Representation/Words.lean,116,simp,11,0,10.366268157958984,0.9423880577087402,97.65583801269531,87.28956604003906,7.935415094549006,5.082798480987549,0.6799028515815735,5
dropLeadingZeros_mapNeg,Representation.Words,formal/Representation/Words.lean,120,induction,103,0,48.97835159301758,0.47551798820495605,292.86639404296875,243.88804626464844,2.367845109365519,10.135690689086914,2.532425880432129,225
canonicalize_mapNeg,Representation.Words,formal/Representation/Words.lean,132,unfold,49,0,31.83884620666504,0.6497723460197449,245.8145294189453,213.97567749023438,4.366850561025191,5.646480083465576,4.944199562072754,8
warpWord_mapNeg,Representation.Words,formal/Representation/Words.lean,140,calc,74,0,29.410991668701172,0.3974458575248718,259.535888671875,230.12489318847656,3.109795853898332,6.675183296203613,8.137526512145996,29
evalMSD_warpWord_mapNeg,Representation.Words,formal/Representation/Words.lean,149,rw,16,0,7.880743026733398,0.4925464391708374,147.01992797851562,139.13919067382812,8.696199417114258,4.929665565490723,1.7728270292282104,4
dropLeadingZeros_replicate_zero_append,Representation.Words,formal/Representation/Words.lean,153,induction,36,0,14.074458122253418,0.39095717668533325,195.06369018554688,180.98922729492188,5.027478535970052,3.2662768363952637,0.7504255771636963,6
warpWord_append_zeros,Representation.Words,formal/Representation/Words.lean,160,unfold,29,0,17.751476287841797,0.6121198534965515,215.84414672851562,198.09266662597656,6.830781607792296,4.317296028137207,1.6494596004486084,9
dropLeadingZeros_of_head_ne_zero,Representation.Words,formal/Representation/Words.lean,165,simp,15,0,7.337366580963135,0.4891577959060669,106.70433044433594,99.3669662475586,6.624464416503907,4.680532455444336,0.790642261505127,3
warpWord_involutive_of_last_ne_zero,Representation.Words,formal/Representation/Words.lean,172,have,216,0,211.59812927246094,0.9796209931373596,689.5300903320312,477.93194580078125,2.212647897225839,7.515102863311768,3.196267604827881,38
eval_wordThree,Operators.Algebra,formal/Operators/Algebra.lean,35,simp,14,0,22.661331176757812,1.6186665296554565,136.56813049316406,113.90679931640625,8.136199951171875,2.853811740875244,0.8750807046890259,59
warp_wordThree,Operators.Algebra,formal/Operators/Algebra.lean,38,unfold,29,0,70.6009521484375,2.4345154762268066,222.71762084960938,152.11666870117188,5.245402369005927,13.138504981994629,4.958134651184082,3623
eval_warp_wordThree,Operators.Algebra,formal/Operators/Algebra.lean,42,rw,19,0,11.097241401672363,0.584065318107605,173.7737579345703,162.676513671875,8.561921772203947,5.156183242797852,2.552347183227539,5
