name,module,file,line,first_tactic,n_tokens,truncated,surprise_given,mean_surprise,surprise_alone,pmi,mean_pmi,max_incongruity,first_step_surprise,max_rank
monotone_bounded_eventuallyConstant,Core.Basic,formal/Core/Basic.lean,14,obtain,238,0,226.7867431640625,0.9528855085372925,613.9219970703125,387.13525390625,1.6266187138918067,9.728838920593262,2.8655261993408203,3652
monotone_eventuallyConstant_bounded,Core.Basic,formal/Core/Basic.lean,37,obtain,74,0,66.8380126953125,0.9032164216041565,269.41558837890625,202.57757568359375,2.737534806535051,3.65871524810791,2.454683780670166,11
toInt_eq_zero_iff,Representation.Words,formal/Representation/Words.lean,30,cases,11,0,7.406201362609863,0.673291027545929,92.77473449707031,85.3685302734375,7.760775479403409,0.4394186735153198,1.754012107849121,3
negate_eq_zero_iff,Representation.Words,formal/Representation/Words.lean,33,cases,12,0,7.318693161010742,0.6098911166191101,91.622314453125,84.30361938476562,7.025301615397136,0.23030388355255127,1.2965353727340698,3
evalMSD_appendLSD,Representation.Words,formal/Representation/Words.lean,50,simp,17,0,14.705314636230469,0.8650184869766235,140.5926971435547,125.88738250732422,7.40514014748966,0.4604759216308594,2.4289896488189697,5
evalMSD_append_zero,Representation.Words,formal/Representation/Words.lean,54,simpa,22,0,53.28822708129883,2.422192096710205,191.81094360351562,138.52272033691406,6.296487288041548,5.841512203216553,6.7686076164245605,505
digitSum_appendLSD,Representation.Words,formal/Representation/Words.lean,66,simp,11,0,6.173374176025391,0.561215877532959,96.7301025390625,90.55673217773438,8.232430197975852,0.7519170045852661,2.0479021072387695,4
digitSum_append_plus,Representation.Words,formal/Representation/Words.lean,72,simp,13,0,25.425649642944336,1.9558192491531372,136.3257598876953,110.90010833740234,8.530777564415565,3.9048266410827637,2.549255132675171,139
evalMSD_append_plus,Representation.Words,formal/Representation/Words.lean,76,simp,14,0,26.241016387939453,1.8743584156036377,146.64352416992188,120.40251159667969,8.600179399762835,5.566950798034668,2.669739246368408,118
length_appendLSD,Representation.Words,formal/Representation/Words.lean,80,simp,8,0,5.109993934631348,0.6387492418289185,75.48118591308594,70.3711929321289,8.796399116516113,0.3491377830505371,2.229862689971924,4
evalMSD_mapNeg,Representation.Words,formal/Representation/Words.lean,113,simpa,20,0,28.274625778198242,1.413731336593628,154.74917602539062,126.47454833984375,6.323727416992187,4.216390132904053,6.467151641845703,31
